"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2007","241.64","239.93","241.91","239.86","","0.69%"
"05/22/2007","239.98","239.39","240.24","239.04","","0.21%"
"05/21/2007","239.48","239.14","239.68","238.97","","0.14%"
"05/18/2007","239.15","239.42","239.92","237.77","","-0.15%"
"05/17/2007","239.52","238.76","239.67","238.57","","0.29%"
"05/16/2007","238.82","238.71","239.45","238.38","","-0.02%"
"05/15/2007","238.87","238.29","239.07","237.68","","0.26%"
"05/14/2007","238.25","238.20","238.73","237.86","","0.01%"
"05/11/2007","238.22","236.97","238.48","236.36","","0.35%"
"05/10/2007","237.40","239.33","239.81","236.98","","-0.84%"
"05/09/2007","239.40","238.59","239.58","238.00","","0.30%"
"05/08/2007","238.69","239.29","239.46","238.13","","-0.27%"
"05/07/2007","239.33","239.46","239.65","239.01","","-0.03%"
"05/04/2007","239.39","239.26","239.72","238.74","","0.01%"
"05/03/2007","239.36","239.02","239.61","238.87","","0.12%"
"05/02/2007","239.08","239.34","239.63","238.54","","-0.15%"
"05/01/2007","239.45","238.79","239.87","238.63","","0.26%"
"04/30/2007","238.84","237.89","239.15","237.81","","-0.06%"
"04/27/2007","238.99","237.92","239.48","237.23","","0.38%"
"04/26/2007","238.08","237.49","238.82","237.20","","0.27%"
"04/25/2007","237.44","237.08","238.06","236.84","","0.08%"
"04/24/2007","237.24","237.27","238.05","235.93","","0.08%"
"04/23/2007","237.04","238.05","238.37","236.22","","-0.26%"
"04/20/2007","237.66","237.13","238.46","236.84","","0.17%"
"04/19/2007","237.25","237.89","238.26","235.12","","-0.39%"
"04/18/2007","238.18","238.73","239.01","236.73","","-0.26%"
"04/17/2007","238.81","238.19","239.53","237.12","","0.26%"
"04/16/2007","238.19","237.15","238.67","236.37","","0.55%"
"04/13/2007","236.88","235.73","237.08","234.71","","0.44%"
"04/12/2007","235.84","235.68","236.16","235.02","","0.03%"
"04/11/2007","235.77","234.70","236.37","234.54","","0.37%"
"04/10/2007","234.89","234.10","235.47","233.59","","0.29%"
"04/09/2007","234.20","234.33","234.58","233.69","","-0.10%"
"04/06/2007","234.44","233.96","234.69","233.74","","0.18%"
"04/05/2007","234.01","234.50","234.92","233.51","","-0.21%"
"04/04/2007","234.50","234.83","235.09","234.07","","-0.19%"
"04/03/2007","234.95","233.00","235.15","232.79","","0.81%"
"04/02/2007","233.07","231.40","233.16","231.19","","0.54%"
"03/30/2007","231.82","231.64","232.01","230.50","","0.07%"
"03/29/2007","231.66","229.30","231.80","229.05","","1.09%"
"03/28/2007","229.17","231.55","231.96","228.71","","-1.06%"
"03/27/2007","231.63","232.56","233.06","231.24","","-0.43%"
"03/26/2007","232.64","231.08","232.78","230.80","","0.42%"
"03/23/2007","231.67","232.00","232.40","230.39","","-0.18%"
"03/22/2007","232.08","231.27","232.31","230.58","","0.27%"
"03/21/2007","231.46","230.03","231.62","229.84","","0.63%"
"03/20/2007","230.02","228.81","230.83","228.07","","0.63%"
"03/19/2007","228.58","225.72","229.18","225.31","","0.95%"
"03/16/2007","226.43","227.46","227.80","226.35","","-0.53%"
"03/15/2007","227.64","226.53","228.09","226.13","","0.48%"
"03/14/2007","226.55","224.15","226.86","222.59","","1.18%"
"03/13/2007","223.91","227.32","227.48","223.72","","-1.62%"
"03/12/2007","227.60","228.71","229.74","225.78","","-0.36%"
"03/09/2007","228.43","225.79","228.82","225.58","","1.12%"
"03/08/2007","225.91","224.28","226.92","222.81","","0.68%"
"03/07/2007","224.39","225.10","226.27","223.85","","-0.16%"
"03/06/2007","224.76","221.88","225.51","221.04","","1.15%"
"03/05/2007","222.21","226.73","227.02","221.20","","-2.17%"
"03/02/2007","227.15","230.08","230.66","226.51","","-1.39%"
"03/01/2007","230.36","232.67","233.52","229.37","","-0.97%"
"02/28/2007","232.61","231.38","233.08","230.89","","0.55%"
"02/27/2007","231.33","236.72","237.11","230.63","","-2.28%"
"02/26/2007","236.72","237.58","237.90","236.20","","-0.42%"
"02/23/2007","237.73","237.81","238.23","237.31","","-0.01%"
"02/22/2007","237.75","236.15","238.05","235.63","","0.58%"
"02/21/2007","236.37","234.52","236.50","233.75","","0.76%"
"02/20/2007","234.59","233.23","235.20","233.19","","0.55%"
"02/19/2007","233.30","233.33","233.94","232.09","","0.21%"
"02/16/2007","232.81","232.57","233.54","232.00","","0.01%"
"02/15/2007","232.79","236.93","237.19","232.69","","-1.77%"
"02/14/2007","236.98","235.89","237.26","235.61","","0.47%"
"02/13/2007","235.87","237.36","237.53","235.36","","-0.69%"
"02/12/2007","237.51","237.29","238.62","236.60","","0.08%"
"02/09/2007","237.32","237.01","237.90","236.07","","0.13%"
"02/08/2007","237.02","237.70","238.92","236.88","","-0.31%"
"02/07/2007","237.75","236.65","238.14","236.38","","0.45%"
"02/06/2007","236.68","235.94","237.37","235.32","","0.36%"
"02/05/2007","235.82","238.08","238.25","235.40","","-1.00%"
"02/02/2007","238.19","237.47","238.89","237.25","","0.29%"
"02/01/2007","237.49","237.07","237.84","236.48","","0.20%"
"01/31/2007","237.01","238.68","238.97","236.21","","-0.70%"
"01/30/2007","238.67","238.66","240.11","238.20","","0.01%"
"01/29/2007","238.64","238.02","239.23","237.91","","0.19%"
"01/26/2007","238.18","238.07","239.23","237.46","","0.08%"
"01/25/2007","237.98","238.48","238.75","236.28","","-0.15%"
"01/24/2007","238.34","240.90","241.42","237.38","","-1.14%"
"01/23/2007","241.10","240.31","241.55","240.21","","0.29%"
"01/22/2007","240.41","239.34","240.66","239.18","","0.41%"
"01/19/2007","239.43","239.27","239.89","238.87","","0.00%"
"01/18/2007","239.44","237.63","240.07","237.40","","0.76%"
"01/17/2007","237.64","236.59","237.93","236.44","","0.44%"
"01/16/2007","236.61","236.53","237.38","236.22","","0.01%"
"01/15/2007","236.59","235.91","237.05","234.93","","0.36%"
"01/12/2007","235.73","234.32","236.00","233.82","","0.59%"
"01/11/2007","234.35","231.20","234.90","230.83","","1.35%"
"01/10/2007","231.22","231.46","231.83","230.67","","-0.17%"
"01/09/2007","231.62","230.20","231.97","229.96","","0.66%"
"01/08/2007","230.09","229.00","230.21","228.01","","0.51%"
"01/05/2007","228.93","231.23","231.44","228.44","","-1.02%"
"01/04/2007","231.28","232.89","233.19","231.17","","-0.67%"
"01/03/2007","232.83","234.48","234.88","232.60","","-0.72%"
"01/02/2007","234.52","233.06","234.63","232.91","","0.57%"
"01/01/2007","233.19","233.18","233.24","232.85","","-0.06%"
"12/29/2006","233.34","233.33","233.93","232.83","","-0.04%"
"12/28/2006","233.43","232.44","233.75","232.05","","0.48%"
"12/27/2006","232.32","232.74","233.02","231.49","","-0.22%"
"12/26/2006","232.83","233.01","233.21","232.43","","-0.10%"
"12/25/2006","233.07","232.45","233.16","232.24","","0.13%"
"12/22/2006","232.77","232.01","233.09","231.85","","0.29%"
"12/21/2006","232.10","232.67","233.11","231.42","","-0.25%"
"12/20/2006","232.68","232.51","233.29","232.35","","0.08%"
"12/19/2006","232.49","230.03","232.58","229.64","","1.00%"
"12/18/2006","230.18","230.33","230.93","229.34","","-0.19%"
"12/15/2006","230.61","230.93","232.16","229.31","","-0.22%"
"12/14/2006","231.13","231.20","231.47","230.58","","-0.04%"
"12/13/2006","231.23","230.09","231.34","229.86","","0.45%"
"12/12/2006","230.19","228.88","230.38","228.66","","0.55%"
"12/11/2006","228.92","227.22","229.07","226.91","","0.62%"
"12/08/2006","227.50","226.17","227.86","225.86","","0.53%"
"12/07/2006","226.30","226.64","226.84","225.76","","-0.11%"
"12/06/2006","226.56","226.61","226.90","225.59","","-0.06%"
"12/05/2006","226.69","228.29","228.61","226.19","","-0.72%"
